,source,edge,target
2778,partial reference they,incurred,total purchase price
2779,percentage that,determined in,company
2780,corresponding calculation documents,reported,company
2782,you,have with other,other tax offices
2783,tax balance sheet,​​in,assets
2784,individual distribution values,increased by,5 tax %
2786,General  objects,be,even  person
2787,far  usufruct,encumbrances,individual  usages
2788,otherwise  usufructuary,leave,someone
2789,Usufruct,arises as,applicable land transfer
2791,that,are,also wealth tax
2792,business they,BewG,other capital Section
2793,14 capital value,calculated by,annual  value
2794,annual  value,is,burdened  asset
2795,that,noted,mean  consumption
2796,that,is,average  years
2797,eighteenth  that,be more,Valuation asset
2798,4800  person,claims to,3  work
2799,they,To,corporate  relationship
2800,719 company usufruct,is,company assets
2801,However  transfer,i,even membership usufruct
2803,legally  usufructuary,exercises,actually  rights
2805,Contribution usufructuary,takes,previous  shareholder
2806,establishment,recognized for,generally tax purposes
2807,income tax he,is,1973 BStBl II p
2809,other company it,BewG for other,asset
2810,evaluation,based on,16  BewG
2811,annual  value,assumed,actual  uses
2812,company BGH,ruled in,II ZR 143/69 BB
2814,partner,owe,articles  association
2815,usufructuary  income,is,thus  distribution
2816,BFH,goes in,1980 BStBl II p
2817,extractable profit share,608,annual company share
2818,also  that,mean,clearing  accounts
2819,previous profit shareholder,(,personal  performance
2822,free  reserves,mean,company share
2824,that,based on,average  years
2825,61  VStR,say,average  amount
2828,state  BFH,approved,3 assessment date
2829,future reference development,is,reference date
2830,Rössler Troll Langner,note,BewG
2831,annual  income,VStR,unlisted reference corporations
2832,reference which,p,already reference 13
2834,annual  usufructuary,taken into,this
2836,eighteenth  that,be more,Valuation asset
2837,annual company value,exceed,eighteenth business assets
2838,mandatory  contractual,a,6 company 1980
2840,when compensation partner,credit,profit master rights
2841,property rights,are,easily  usufruct
2844,themselves,takes,individual profit claim
2845,Interest,are,usufruct
2846,He,sees in,entire company share
2848,also compensation beneficiary,h,interest
2850,himself  it,allowed,net profit master
2851,BFH,holds,1973 BStBl II p
2852,entitled profit person,is,company share
2854,still profit participation,assumes,right  usufruct
2855,obviously  which,understands,real  this
2856,however profit beneficiaries,mean,only  interest
2858,company which,is,company share
2861,entitled profit subscription person,see in,right profit o
2862,only profit participation rights,judgment of,2 Reference BFH which
2863,right profit which,is controversial,civil  law
2865,right profit which,stated,independently  usufruct
2866,over profit shareholder,give,membership
2868,right profit which,take,independently  usufruct
2869,However  Senate,need,final  position
2870,individual profit usufructuary,leave open,only profit claims
2872,profit profit,entitlements,themselves
2874,how advance assignment,is,largely income tax law
2875,future profit claims,remains with,assignee
2876,above wealth tax usufruct,is,wealth tax purposes
2877,annual  which,based on,respective business assets
2878,contractual company limitation,observed,1970 BStBl II p
2881,that profit usufructuary,granted in,profit share
2883,annual profit value,is,interest
2886,profit that,Statements on,membership
2887,annual  value,be more,eighteenth capital share
2888,corresponding profit explanations,are,1
2890,thus profit usufructuary,invested in,only  interest
2891,when  shareholder,enjoy,only  benefits
2894,remarks,apply,accordingly usage claims
2895,above profit master right,is,civil  law
2896,claim,is,property tax purposes
2897,profit master limitation,a,legal BFH 13
2899,claims,are,recurring profit master services
2900,right profit usufructuary,agreed between,profit above
2901,this,a,6 BFH 1980
2902,relevant  decision,carried,also Rössler Troll Langner
2904,also Gürsching Stenger,note,16  result
2906,civil law requirements,noted,addition
2907,respective  claims,limited to certain,corresponding  agreements
2908,that,BewG,raw  Section
2909,16  it,a,20 1 1978
2910,other business valuation,resulting,VStR capital ​​(Section
2911,that,estimated,future
2912,annual mutatis value,apply,present  value
2913,16 debt register that,based on,German reference date
2914,113  that,V with,fair  value
2917,annual  value,contains,average  Section
2918,limitation,is,respective securities account
2919,commercial company appointment,gives,encumbered  object
2920,only  heirs,results in,usufruct
2921,obligation,constitute,civil  usufruct
2922,prerequisites,BewG on other,other capital assets
2923,capital value,results from,annual  value
2924,that,VStR,average  Section
2925,eighteenth  that,BewG,Valuation asset
2926,maximum company amount,limited to,annual  value
2927,accordingly  uses,limited to,50  percent
2930,annual  value,exceed,50  %
2932,reference,made to,agenda item III
2934,Granting,constitute,use
2935,entitlements,treated as,recurring wealth tax purposes
2938,independent profit which,ErbStG,capital value
2939,pecuniary  advantage,intended,tax appropriate tax manner
2940,particular capital work,exists,third  party
2941,average  return,exceed,15  %
2943,when underage children,given in particular,partnerships
2944,that,is,civil  law
2945,Half Sentence BewG,considered,9  times
2946,1976 tax I,S,1974 tax March
2947,excessive profit share,is,same  amount
2948,present  value,be,DM
2949,This,concerns other,other  child
2951,however  it,depend on,essentially tax participation
2952,BewG  beneficiary,recognize,other  assets
2953,we,ask,experiences
2954,silent  contribution,is,capital claim
2955,part,comes into,taxable profit determination
2956,other  valuation,carried,Section
2957,obligation,valued at,silent  contribution
2958,General Capital claims,aimed at,money
2959,This,includes,such debt exchange
2960,also  they,included,market value
2961,12 assessment standard,is,12 Assessment BewG
2962,interest rate,applies to,cent
2964,determination,has,11 Troll Langner pages
2965,Special  circumstances,taken into,assessment
2967,low interest capital that,Example of,one  amount
2970,92166  DM,see,12 BewG card
2972,respective reference Appendix,are decisive,respective reference date
2973,however  uncollectibility,are decisive,claim
2974,evaluation,has,silent  section
2975,Thereafter  termination,excluded for,5  years
2976,that,derived from,annual  yields
2977,silent  that,is,other  assets
2978,limited term capital claims,valued in,Section
2979,that,are,time
2981,free  payment,checked,economic  creditor
2982,present  latter,used for,annual capital amounts
2985,commercial  ​​that,regulates,profit determination result
2986,capital,claims,i
2987,i.e. loan claims,come into,credit consideration
2989,when profit they,are,value
2990,capital claims,are,when capital Section
2991,legal  evaluations,ensures,del credere
2993,However balance sheet approach,correspond to,income tax principles
2995,economic  unit,plays,commercial  role
2997,business it,Example,commercial  operation
2998,e capital regulations,apply,12  Paragraph
2999,this,includes monetary,monetary  debts
3001,valuation,takes,longer  Sections
3002,nominal  reference,BewG,lower interest Section
3003,economic  valuation,is,par
3008,Comparisons,are essential,previous wealth tax assets
3011,34  Paragraph,a,VStR
3013,4 VSt BewG,BewG,other Health Insurance Section
3014,3 capital that,applicable,14  BewG
3017,rulings,p,17  May
3020,1966  BFH,examined,legal fee provisions
3021,claim,stated,recurring  uses
3022,applicability,denied,1  BewG
3023,1973  BFH,upholds,previous  view
3024,final  it,becomes clear,particular  his
3025,BewG  provision,interpretation of,extended  Section
3027,which,contradict,contrary  view
3028,claims,are,professional  statutes
3029,deceased  husband,belonged as,dental  association
3030,compulsorily pension which,insured with,statutory health insurance physicians
3031,recurring family that,depends on,professional  activity
3032,3 fee BewG,are,recurring  KVH
3033,claims,noted,statutory health insurance physicians
3036,different 7 it,changed in,new wealth tax index
3037,current wealth tax assessment,corrected,subsequent income tax liabilities
3039,far  they,taken into,when business assets
3040,total tax instructions,apply,total tax assets
3041,taxpayer,is,reference date
3042,this,assumed,later advance payments
3043,procedural reference requirements,met,respective reference date
3044,income tax taxpayer,burdened with,fixed income tax
3045,economic  burden,had,still company tax offices
3046,loss shares,had,company tax offices
3048,This,applies to,also tax companies
3049,earlier loss shares,reported,earlier reference account
3050,this,result,the
3051,Income tax liabilities,deducted from,raw loss assets
3052,final  change,made in,procedural  regulations
3053,173  Paragraph,come into,1  consideration
3055,change,carried,disadvantage
3056,taxpayer,assumed,generally  change
3057,original wealth tax assessment,justified by such,such wealth tax facts
3058,field audit,sentence,external  debts
3059,legal  change,is,wealth tax assessment
3060,Rössler Troll Langner,note,BewG
3061,new tax that,take,binding Gürsching- BewG
3064,additional business which,are in,standard value notification
3068,when wealth tax cases,inferred,final  Section
3070,tax which,ruled,that
3071,Debt Items,Affect,Wealth Tax Amount
3073,only tax which,result,turn
3074,tax refund that,justify,173 wealth tax para
3075,tax office,considered,when wealth tax
3076,Consequently income tax liability,be at,correspondingly  lower
3078,income that,treated as,income fact
3079,either income tax assessment,based on,basic wealth tax assessment
3080,be,made clear,binding tax question
3081,Valuation Act,contains,binding Wealth Tax regulation
3082,Tipke Kruse,lead in,note
3083,basic  decision,establishes,subsequent tax decision
3084,binding  effect,understood in,however  sense
3086,provision,apply,175  AO
3087,that,be,tax past
3089,that,occurred,tax past
3090,key date taxpayer,had,key tax date
3091,economic income tax burden,mean,already reference date
3092,incorrect reference date valuation,viewed as,Section
3093,177 income tax requirements,corrected within,other wealth tax reasons
3094,AO tax change,is,procedural tax law
3095,relevant wealth tax assessments,AO,possible income Section
3096,85 material principle,derived from,also  account
