,sentence
2163,The initial value to be used in these cases results from the tax production costs of the animal species in question plus an assumed profit surcharge of 20% included in the initial value for the area under normal animal husbandry
2164,"2242 Vegetable growing (horticultural use) To distinguish vegetable growing (horticultural use) from vegetable growing within the framework of agricultural use, I refer to Sections 108, Paragraph 2 and 607, Paragraph 1, No. 1 BewRL 1964.If vegetable growing is included in agricultural use, there is a surcharge according to § 13a Paragraph 8 of the Income Tax Act not applicable"
2165,"Vegetables are only grown in the context of agricultural use if headed cabbage (white, red and savoy cabbage), picking peas and picking beans are grown exclusively using agricultural cultivation methods as part of agricultural crop rotation as the main crop"
2166,"On the other hand, if the types of cabbage and / or peas or"
2167,Do not alternate beans with other agricultural crops such as
2168,"Wheat, rye, barley, oats or beets, but one after the other or alternately with the same or different types of vegetables (e.g."
2169,"Endive, lettuce, lamb's lettuce, spinach, carrots, celery, beetroot, onions, radishes, leeks, tomatoes, kohlrabi, cucumbers, etc."
2170,") cultivated, the cultivation is no longer part of the agricultural crop rotation"
2171,It is then rather about vegetable growing (horticultural use)
2172,"In the case of vegetable growing (horticultural use), income fluctuates between DM 15,000 and DM 80,000 per hectare"
2173,You are dependent on z
2174,"of soil quality, irrigation possibilities, under glass areas, number of harvests"
2175,The net profit can be 30 to 65 BC
2176,of revenues are estimated
2177,"The profit is influenced by the type of marketing (auction in the wholesale market, sale on the farm, sale on the weekly market) and the wage expenditure"
2178,In the case of vegetable growing without roofed growing areas or with roofed growing areas up to 3%
2179,"of the total vegetable growing area, the profit can also be estimated based on the number of unpaid family workers (FAK) fully employed in vegetable growing as follows: For a vegetable growing area - up to 2 ha 16,000 DM / FAK - from 2 to 4 ha 22,000 DM / FAK - over 4 ha38000 DM / FAK This estimation method is particularly suitable for cases in which the operating income has not been specified or has obviously been incomplete"
2180,A correct estimate in individual cases is i
2181,only possible in close cooperation with the ALS
2182,2243 Fruit growing (horticultural use) The income fluctuates i
2183,"between 15,000 and 35,000 DM per hectare"
2184,"They depend on the type of fruit, the types of fruit, the age structure of the orchard, the quality of the soil and the climate"
2185,Special natural events such as
2186,Late frosts can lead to lower income
2187,The net profit can be 30 to 50 percent
2188,of revenues are estimated
2189,"The profit is influenced by the type of marketing (auction in the wholesale market, sale from the farm, sale at the weekly market) and the wage expenditure"
2190,No. 2242 last paragraph applies accordingly
2191,225 Value in use of the apartment The apartment i
2192,"of § 13a Paragraph 7 EStG includes the buildings and parts of buildings, insofar as they serve the owner of the business, the family members belonging to his household and the retirees for residential purposes (§ 34 Paragraph 3 BewG)"
2193,This also applies if the right of residence of the senior citizen is secured in rem; the value in use is to be recorded in the amount of one eighteenth of the flat value specifically shown in the unit value in the income from agriculture and forestry and to be taken into account in the corresponding amount as a permanent burden according to § 10 para. 1 no 1983 Federal Tax Gazette 1984 II p
2194,"226 Lease interest paid, interest on debt, ongoing charges Reference is made to Section 13a (3) sentence 2 EStG and Section 130a (9) EStR"
2195,Interest subsidies from public funds reduce the deductible debt interest
2196,227 Other additions and reductions
2197,"The following can be considered: additions and deductions according to § 6c EStG, increased deductions for residential buildings according to § 7b EStG i"
2198,"V with § 52 EStDV, tax relief according to § 78 EStDV With increased deductions according to § 7b EStG it should be noted that the loss clause of § 7a Abs 6 EStG a"
2199,"no longer applies for financial years beginning after December 31, 1979 (Section 52 (21) EStG)"
2200,"However, the tax relief according to § 78 EStDV may still not lead to a loss from agriculture and forestry (see § 78 Paragraph 3 EStDV)"
2201,"The other increased deductions according to § 7d EStG, §§ 82a, 82g, and 82i EStDV and according to the Protective Building Act cannot be taken into account when determining profits according to § 13a Paragraphs 2 to 7 EStG because the average rates mean the depreciation and thus also the other The higher deductions occurring are generally compensated (see BFH judgment of 07 06 1984 BStBl 1984 II p"
2202,663)
2203,"However, if an asset is used in a part of the business whose full income is to be recorded in accordance with Section 13a (8) EStG, increased deductions can also be taken into account when determining the profit"
2204,3 Determination of the profit from agriculture and forestry by comparing the operating income with the operating expenses (Section 4 Paragraph 3 EStG) 31 Scope of application Reference is made to Section 127 Paragraph 3 EStR
